"","internal_id","date"
"790",11273,1888-12-01
"791",11272,1890-04-01
"792",11271,1890-04-01
"793",11270,1889-10-01
"794",11269,1889-04-01
"795",11268,1889-05-01
"796",11267,1890-11-01
"797",11266,1890-11-01
"798",11265,1889-08-01
"799",11264,1890-08-01
"800",11263,1888-12-01
"801",11262,1889-04-01
"802",11261,1889-10-01
"803",11260,1890-04-01
"804",11259,1881-09-01
"805",11258,1889-12-01
"806",11257,1889-05-01
"807",11256,1889-04-01
"808",11255,1889-07-01
"809",11254,1890-08-01
"810",11253,1888-12-01
"811",11252,1889-10-01
"812",11251,1890-04-01
"813",11250,1881-09-01
"814",11249,1881-11-01
"815",11248,1889-12-01
"816",11247,2889-05-01
"817",11246,1889-04-01
"818",11245,1889-07-01
"819",11244,1882-02-01
"820",11243,1889-10-01
"821",11242,1889-04-01
"822",11241,1888-12-01
"823",11240,1881-11-01
"824",11239,1890-03-01
"825",11238,1889-07-01
"826",11237,1881-08-01
"827",11236,1889-04-01
"828",11235,1889-12-01
"829",11234,1882-02-01
"830",11233,1889-05-01
"831",11232,1889-10-01
"832",11231,1881-11-01
"833",11230,1888-11-01
"834",11229,1889-04-01
"835",11228,1889-07-01
"836",11227,1882-02-01
"837",11226,1881-08-01
"838",11225,1881-05-01
"839",11224,1889-05-01
"840",11223,1889-12-01
"841",11222,1889-03-01
"842",11221,1881-11-01
"843",11220,1889-10-01
"844",11219,1882-02-01
"845",11218,1881-05-01
"846",11217,1881-08-01
"847",11216,1888-11-01
"848",11215,1889-07-01
"849",11214,1889-05-01
"850",11213,1889-03-01
"851",11212,1889-12-01
"852",11211,1882-02-01
"853",11210,1889-09-01
"854",11209,1881-11-01
"855",11208,1889-07-01
"856",11207,1881-05-01
"857",11206,1889-04-01
"858",11205,1881-08-01
"859",11204,1889-03-01
"860",11203,1889-11-01
"861",11202,1889-09-01
"862",11201,1888-11-01
"863",11200,1882-01-01
"864",11199,1882-01-01
"865",11198,1889-06-01
"866",11197,1889-04-01
"867",11196,1881-08-01
"868",11195,1889-03-01
"869",11194,1889-03-01
"870",11193,1889-09-01
"871",11192,1881-05-01
"872",11191,1882-01-01
"873",11190,1881-11-01
"874",11189,1889-04-01
"875",11188,1889-06-01
"876",11187,1889-06-01
"877",11186,1888-11-01
"878",11185,1881-08-01
"879",11184,1889-09-01
"880",11183,1889-03-01
"881",11182,1882-01-01
"882",11181,1889-04-01
"883",11180,1889-04-01
"884",11179,1881-08-01
"885",11178,1889-06-01
"886",11177,1881-05-01
"887",11176,1881-10-01
"888",11175,1888-10-01
"889",11174,1889-03-01
"890",11173,1881-03-01
"891",11172,1882-01-01
"892",11171,1861-01-01
"893",11170,1889-04-01
"894",11169,1889-06-01
"895",11168,1881-07-01
"896",11167,1881-10-01
"897",11166,1881-10-01
"898",11165,1881-05-01
"899",11164,1881-02-01
"900",11163,1882-01-01
"901",11162,1889-03-01
"902",11161,1888-10-01
"903",11160,1889-04-01
"904",11159,1889-06-01
"905",11158,1881-07-01
"906",11157,1881-07-01
"907",11156,1881-10-01
"908",11155,1881-04-01
"909",11154,1889-02-01
"910",11153,1882-01-01
"911",11152,1889-04-01
"912",11151,1881-02-01
"913",11150,1889-05-01
"914",11149,1889-05-01
"915",11148,1889-05-01
"916",11147,1881-10-01
"917",11146,1889-02-01
"918",11145,1888-10-01
"919",11144,1888-10-01
"920",11143,1881-07-01
"921",11142,1889-04-01
"922",11141,1881-04-01
"923",11140,1881-04-01
"924",11139,1881-04-01
"925",11138,1881-10-01
"926",11137,1881-10-01
"927",11136,1889-05-01
"928",11135,1889-04-01
"929",11134,1888-10-01
"930",11133,1888-10-01
"931",11132,1888-10-01
"932",11131,1881-07-01
"933",11130,1889-02-01
"934",11129,1881-02-01
"935",11128,1881-04-01
"936",11127,1881-10-01
"937",11126,1889-04-01
"938",11125,1885-06-01
"939",11124,1885-06-01
"940",11123,1885-06-01
"941",11122,1889-01-01
"942",11121,1889-01-01
"943",11120,1889-01-01
"944",11119,1889-01-01
"945",11118,1889-01-01
"946",11117,1881-07-01
"947",11116,1888-10-01
"948",11115,1881-02-01
"949",11114,1881-04-01
"950",11113,1881-04-01
"951",11112,1881-04-01
"952",11111,1885-06-01
"953",11110,1881-12-01
"954",11109,1881-12-01
"955",11108,1881-10-01
"956",11107,1881-10-01
"957",11106,1881-02-01
"958",11105,1881-07-01
"959",11104,1892-12-01
"960",11103,1885-10-01
"961",11102,1881-04-01
"962",11101,1880-11-01
"963",11100,1880-11-01
"964",11099,1830-09-01
"965",11098,1888-09-01
"966",11097,1881-02-01
"967",11096,1881-12-01
"968",11095,1885-10-01
"969",11094,1881-06-01
"970",11093,1881-06-01
"971",11092,1880-11-01
"972",11091,1885-05-01
"973",11090,1881-04-01
"974",11089,1881-09-01
"975",11088,1881-01-01
"976",11087,1971-09-01
"977",11086,1971-09-01
"978",11085,1881-12-01
"979",11084,1881-06-01
"980",11083,1885-09-01
"981",11082,1885-09-01
"982",11081,1880-11-01
"983",11080,1881-01-01
"984",11079,1881-01-01
"985",11078,1885-05-01
"986",11077,1881-03-01
"987",11076,1881-09-01
"988",11075,1881-06-01
"989",11074,1881-12-01
"990",11073,1881-01-01
"991",11072,1881-01-01
"992",11071,1880-08-01
"993",11070,1880-11-01
"994",11069,1881-09-01
"995",11068,1885-09-01
"996",11067,1881-03-01
"997",11066,1885-01-01
"998",11065,1885-05-01
"999",11064,1881-06-01
"1000",11063,1884-10-01
"1001",11062,1881-01-01
"1002",11061,1885-09-01
"1003",11060,1885-12-01
"1004",11059,1880-08-01
"1005",11058,1880-11-01
"1006",11057,1881-05-01
"1007",11056,1885-01-01
"1008",11055,1881-03-01
"1009",11054,1884-10-01
"1010",11053,1884-10-01
